Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,"Population, total",SP.POP.TOTL,6.77,0.99,2.08,4.47,2.54,1.51,-0.24,0.13,-1.41,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Population, total",SP.POP.TOTL,,,,5.48,2.93,2.94,3.86,1.22,3.05,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,"Population, total",SP.POP.TOTL,,,,2.94,2.74,2.05,1.85,2.68,0.87,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,BRB,"Population, total",SP.POP.TOTL,2.37,0.3,1.78,2.91,1.52,0.94,1.91,1.13,1.43,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,,,0.28,1.33,1.19,2.16,1.27,-2.35,-0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Population, total",SP.POP.TOTL,,,,1.3,5.77,1.5,25.28,37.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,"Population, total",SP.POP.TOTL,,,,-3.7,14.02,0.15,1.68,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,"Population, total",SP.POP.TOTL,8.72,0.35,1.41,3.34,3.01,1.93,4.39,4.35,3.79,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Population, total",SP.POP.TOTL,4.3,0.58,2.31,5.28,4.06,4.32,4.44,3,2.41,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,8.61,1.17,2.81,5.8,6.11,5.51,6.05,4.56,2.37,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,"Population, total",SP.POP.TOTL,5.93,-0.73,3.18,5.55,2.62,2.62,1.92,1.44,2,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,"Population, total",SP.POP.TOTL,7,4.2,2.27,3.42,3.17,2.02,2.9,4.99,7.51,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Population, total",SP.POP.TOTL,,,,1.84,6.31,-4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,"Population, total",SP.POP.TOTL,,,,,,0.81,1.24,0.74,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,,,,0.76,6.09,6.01,0.08,4.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,"Population, total",SP.POP.TOTL,,,,4.88,4.5,5.22,4.52,0.8,-0.02,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,6.31,1.02,1.23,4.91,1.3,2.58,0.45,1.25,0.72,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,,,,2.25,3.42,2.21,-0.21,-0.5,-1.12,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,"Population, total",SP.POP.TOTL,,,,2.33,3.18,1.34,1.49,-0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,COM,"Population, total",SP.POP.TOTL,,,,3.29,2.39,-0.4,-1.35,-2.1,-1.69,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,6.36,1.02,1.47,1.92,3.29,1.44,0.34,0.31,0.68,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,"Population, total",SP.POP.TOTL,3.42,1.3,2.31,2.76,2.4,0.79,0.56,0.45,0.25,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,,,,5.07,3.73,2.71,1.34,-0.85,2.74,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,"Population, total",SP.POP.TOTL,,,,1.13,1.36,-0.05,0.8,-0.79,0.23,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"Population, total",SP.POP.TOTL,,,,8.74,3.62,4.71,3.05,0.83,1.59,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,,,,4.48,5.1,2.74,3.58,3.97,1.73,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Population, total",SP.POP.TOTL,,,,10.05,7.12,9.42,10.14,10.36,13.81,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,CZE,"Population, total",SP.POP.TOTL,,,,5.13,1.73,0.79,1.11,-0.73,0.6,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,"Population, total",SP.POP.TOTL,,,,4.81,3.66,2.95,4.31,1.68,1.41,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,"Population, total",SP.POP.TOTL,10.36,-0.08,2.97,4.98,3.93,2.78,-0.11,-0.49,0.15,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"Population, total",SP.POP.TOTL,44.36,8.48,8.15,33.25,24.12,8.08,7.4,10.11,7.26,9.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Population, total",SP.POP.TOTL,,,,7.28,3.41,2.92,0.53,1.38,3.86,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,4.07,0,1.18,3.42,2.81,1.48,1.04,-0.21,0.36,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,"Population, total",SP.POP.TOTL,2.81,0.09,1.53,2.11,1.95,0.86,0.51,0.04,0.18,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,,,,2.43,1.75,1.28,0.18,0.57,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,,,,1.26,2.65,0.51,4.69,-0.34,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,,,,4.8,4.25,5.7,5.95,6.81,7.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,"Population, total",SP.POP.TOTL,,,,8.54,,,3.07,4,,6.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,2.63,0.31,1.1,2.08,2.01,1.5,0.91,0.23,0.48,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,"Population, total",SP.POP.TOTL,,,,8.73,7.13,11.67,15.49,17.15,17.45,12.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,4.15,1.21,4.71,3.33,1.5,-0.92,-1.31,-1.74,-0.83,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro area,EMU,"Population, total",SP.POP.TOTL,8.03,-0.31,3.44,3.03,2.41,-0.04,-0.98,-0.52,1.65,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,"Population, total",SP.POP.TOTL,,,,2.57,1.88,0.91,0.35,0.3,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,"Population, total",SP.POP.TOTL,,,,6.22,3.78,4.34,3.42,2.39,4.45,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,EST,"Population, total",SP.POP.TOTL,,,,21.35,15.23,11.89,9.71,8.15,8.17,8.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,ETH,"Population, total",SP.POP.TOTL,,,,5.05,2.13,1.21,-1.51,1.4,1.58,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,EUU,"Population, total",SP.POP.TOTL,,,,4.98,2.39,1.9,0.85,-1,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,,,,8.4,6.29,5.85,4.57,9.02,13.83,14.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,"Population, total",SP.POP.TOTL,11.4,5.5,4.7,6.76,5.2,5.16,6.13,3.16,2.72,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,"Population, total",SP.POP.TOTL,6.04,4.21,4.86,3.93,5.65,1.73,-0.23,-0.06,0.39,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,FRA,"Population, total",SP.POP.TOTL,12.69,12,5.4,4,5.19,3.87,2.04,1.63,1.7,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,,,,,,,6.66,4.91,4.95,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,10.23,4.39,5.13,5.36,4.28,6.41,6.39,6.36,3.53,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,"Population, total",SP.POP.TOTL,,,,20.63,26.45,39.27,17.24,13.71,8.58,10.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,"Population, total",SP.POP.TOTL,,,,5.8,6.09,1.88,2.24,1.39,0.53,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GEO,"Population, total",SP.POP.TOTL,4.06,-4.48,-0.92,2.56,1.7,0.51,0.18,-0.29,0.01,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,GHA,"Population, total",SP.POP.TOTL,4.59,3.33,2.69,3.46,1.71,1.55,0.48,-0.6,-0.54,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,GIB,"Population, total",SP.POP.TOTL,3.35,0.77,1.53,2.78,3.04,1.22,0.24,0.04,-0.09,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,"Population, total",SP.POP.TOTL,,,,7.53,6.9,9.34,8.29,3.68,2.35,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,1.38,-1.35,-0.72,-0.27,-0.05,0.35,2.76,0.79,-0.12,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,13.97,-0.74,4.84,4.17,4.52,4.82,2.9,-0.88,-0.78,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,,,,14.02,9.38,5.72,6.88,6.58,6.3,8.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,"Population, total",SP.POP.TOTL,13.67,9.82,-3.9,1.5,-3.05,-1.49,2.1,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,GRD,"Population, total",SP.POP.TOTL,4.67,2.76,2.94,4.03,2.19,1.3,1.27,0.71,0.97,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,GRL,"Population, total",SP.POP.TOTL,,,,7.32,2.49,1.76,0.42,-0.54,0.3,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,"Population, total",SP.POP.TOTL,,,,4.84,3.26,2.68,2.91,3.27,3.2,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,GUM,"Population, total",SP.POP.TOTL,,,,7.57,4.26,6.37,4.13,1.28,1.6,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,"Population, total",SP.POP.TOTL,15.4,3.53,-1.08,4.37,2.26,-0.03,0.62,0.17,0.14,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income,HIC,"Population, total",SP.POP.TOTL,,1.2,3.98,4.97,6.58,4.82,1.85,-3.75,-0.78,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,10.72,7.38,3.6,4.99,6.12,4.98,5.32,3.16,6.61,5.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,HND,"Population, total",SP.POP.TOTL,17.49,7.43,7.29,8.49,6.83,7.58,9.86,7.75,8.83,12.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,,,,15.52,6.06,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,HRV,"Population, total",SP.POP.TOTL,10.93,4.45,1.32,4.13,3.09,1.05,0.1,-0.88,0.91,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,HTI,"Population, total",SP.POP.TOTL,3.4,0.37,2.27,3.41,2.66,1.73,0.63,0.47,0.29,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,"Population, total",SP.POP.TOTL,8.33,-0.74,1.51,3.9,3.32,2.78,-0.28,-0.3,-0.24,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBRD only,IBD,"Population, total",SP.POP.TOTL,,,,9.48,5.71,5.83,6.08,7.4,6.65,8.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA & IBRD total,IBT,"Population, total",SP.POP.TOTL,,,,7.62,21.27,27.28,23.79,21.87,21.71,12.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA total,IDA,"Population, total",SP.POP.TOTL,,,,3.17,1.66,2.11,3.14,2.1,2.09,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA blend,IDB,"Population, total",SP.POP.TOTL,,,,11.27,10.88,3.81,2.12,0.95,0.5,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,"Population, total",SP.POP.TOTL,,,,2.96,5.32,-0.61,0.88,1.45,-1.8,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA only,IDX,"Population, total",SP.POP.TOTL,,,,2.72,2.42,1.37,0.31,1.1,0.64,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isle of Man,IMN,"Population, total",SP.POP.TOTL,,,,2.56,1.48,1.24,0.76,0.14,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,"Population, total",SP.POP.TOTL,,,,5.69,4.9,4.13,3.53,3.25,1.47,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not classified,INX,"Population, total",SP.POP.TOTL,9.73,2.52,2.93,6.52,3.85,3.54,3.22,1.29,0.98,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,"Population, total",SP.POP.TOTL,5.12,5.3,4.16,3.41,4.11,3.81,4.02,2.72,2.82,6.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,8.34,5.95,3.54,5.22,5,1.74,0.65,-0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,IRQ,"Population, total",SP.POP.TOTL,27.97,7.59,10.08,8.41,14.32,10.49,12.23,6.58,1.06,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,"Population, total",SP.POP.TOTL,,,,3.67,4.77,0.87,-0.38,-1.15,-0.23,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,ISR,"Population, total",SP.POP.TOTL,,,,0.91,1.29,1.87,0.44,1.56,1.64,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,ITA,"Population, total",SP.POP.TOTL,14.5,3.79,12.43,11.17,2.6,4.26,2.56,3.55,17.42,15.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,JAM,"Population, total",SP.POP.TOTL,,,,5.02,1.47,5.48,5.05,9.49,6.96,4.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,JOR,"Population, total",SP.POP.TOTL,,,,5.01,6.72,5.6,5.35,3.4,6.73,6.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,JPN,"Population, total",SP.POP.TOTL,9.91,11.09,9.33,9.23,9.46,9.04,8.36,7.87,8.79,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,2.49,1.19,1.28,2.34,2.46,2.51,0.98,0.6,0.32,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KEN,"Population, total",SP.POP.TOTL,3.96,2.12,2.3,4.03,1.06,1.13,1.23,0.29,0.65,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,,,,8.08,7.19,7.14,6.04,4,3.52,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,KHM,"Population, total",SP.POP.TOTL,,,,2.94,0.46,2.3,-0.93,1,0.18,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,KIR,"Population, total",SP.POP.TOTL,,,,10.84,12.22,8.48,8.06,9.01,15.68,16.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,3.75,2.2,2.42,1.28,0.7,2.12,2.04,2.17,3.55,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,,,,4.04,2.95,1.05,1.02,0.07,1.11,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,KWT,"Population, total",SP.POP.TOTL,,,,11.92,9.68,7.69,7.19,2.53,3.77,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (excluding high income),LAC,"Population, total",SP.POP.TOTL,11.97,1.44,1.44,4.67,3.61,3.35,4.19,0.95,-1.04,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao PDR,LAO,"Population, total",SP.POP.TOTL,8.76,2.41,3.49,5.88,5.7,4.03,2.63,0.13,0.74,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,LBN,"Population, total",SP.POP.TOTL,,,,4.44,4.54,4.96,5.22,6,6.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,LBR,"Population, total",SP.POP.TOTL,,,,8.25,3.68,2.68,5.03,3.13,4.09,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,LBY,"Population, total",SP.POP.TOTL,,,,3.37,3.65,2.82,3.23,3.56,3.6,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,LCA,"Population, total",SP.POP.TOTL,,,,4.72,3.03,2.58,3.6,0.67,1.25,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,4.16,3.8,2.58,4.24,3.56,0.99,0.05,-0.87,-0.66,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,2.59,-0.84,1.4,3.65,2.77,0.27,-0.28,0.49,0.61,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low income,LIC,"Population, total",SP.POP.TOTL,,,,1.14,2.32,3.21,3.35,1.61,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,7.85,5.59,6.09,5.79,3.33,3.98,1.07,-0.59,-1.54,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
